criterion,weight,weight_source,status
HC1,0.117600,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
HC2,0.092400,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
HC3,0.056294,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
AQ1,0.074927,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
AQ2,0.076735,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
AQ3,0.067080,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
SC1,0.058586,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
SC2,0.079800,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
SC3,0.062261,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
SF1,0.078059,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
SF2,0.049427,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
SF3,0.048028,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
EE1,0.044802,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
EE2,0.048764,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
EE3,0.045237,BWM primary,SYNTHETIC_DRAFT_CONSISTENT
