criterion,BWM_primary,CRITIC_reference_draft,geometric_BWMxCRITIC_lambda_0_5_draft,entropy_reference_draft,equal
HC1,0.117600,0.124411,0.121709,0.054368,0.066667
HC2,0.092400,0.091260,0.092399,0.052491,0.066667
HC3,0.056294,0.049810,0.053282,0.046133,0.066667
AQ1,0.074927,0.058057,0.066365,0.056098,0.066667
AQ2,0.076735,0.057303,0.066723,0.055417,0.066667
AQ3,0.067080,0.039288,0.051655,0.027564,0.066667
SC1,0.058586,0.054399,0.056804,0.087988,0.066667
SC2,0.079800,0.064222,0.072033,0.079625,0.066667
SC3,0.062261,0.076287,0.069346,0.108347,0.066667
SF1,0.078059,0.103944,0.090636,0.064851,0.066667
SF2,0.049427,0.063910,0.056553,0.083621,0.066667
SF3,0.048028,0.057503,0.052879,0.061660,0.066667
EE1,0.044802,0.049803,0.047530,0.032941,0.066667
EE2,0.048764,0.051199,0.050278,0.069668,0.066667
EE3,0.045237,0.058605,0.051809,0.119230,0.066667
