project_id,HC1,HC2,HC3,AQ1,AQ2,AQ3,SC1,SC2,SC3,SF1,SF2,SF3,EE1,EE2,EE3,data_status
SYN_R01,52.6352,88.9069,73.5597,68.9052,73.3403,50.1861,64.6246,55.1588,79.8850,82.0408,80.9015,77.2102,9.0431,70.0064,58.0255,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R02,93.1330,77.3229,71.7693,61.3589,50.5787,59.8809,70.0883,62.2638,52.7262,88.5868,49.7523,57.9477,8.8534,67.7637,50.5863,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R03,56.8035,99.7117,79.3758,70.7091,74.4787,78.9577,99.8278,65.5564,83.7536,58.8343,55.1505,75.7857,8.1527,64.5239,53.1731,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R04,48.9459,59.4118,79.9577,73.3955,78.7436,95.1457,78.1139,57.7252,77.4660,91.0136,81.2565,83.1367,7.2615,70.6934,58.9031,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R05,56.2016,89.6318,65.8334,66.1952,69.7887,67.2637,49.6905,69.1876,53.7809,91.9180,53.2479,67.6698,10.7247,64.5619,49.0775,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R06,92.8962,59.3341,71.4337,56.6920,65.1485,69.8465,53.6448,48.3054,76.1420,75.8551,52.4425,64.3547,8.3088,58.2155,49.5630,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R07,83.1084,56.5877,86.7662,66.4005,80.1628,75.5489,82.2434,75.5802,86.4078,56.8595,68.4211,75.3488,7.5662,96.1938,60.4342,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R08,76.1649,84.7664,65.3242,61.8539,60.2626,66.7128,73.9854,63.0058,58.2090,86.4293,60.8647,76.4765,10.1596,73.6231,57.7124,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R09,83.0079,83.7511,67.2421,70.3658,67.5624,67.8871,56.5272,57.1423,55.1742,49.5525,55.3412,66.0668,7.8331,71.4296,75.8507,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R10,67.3296,43.8135,82.4453,73.3204,86.3243,71.6844,75.0618,87.2592,63.4548,86.0154,71.2611,56.3610,8.6492,82.2196,57.8920,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R11,90.4669,85.2176,81.4117,69.6080,53.1233,65.8950,60.9719,63.9883,73.6484,71.6055,60.1350,66.4633,7.9568,60.2554,73.6326,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R12,41.8231,89.3797,81.5274,74.3587,87.0934,65.8613,66.8138,55.8927,54.1380,91.1575,89.3431,64.7137,8.1772,68.1815,75.6202,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R13,93.4906,90.5708,58.0713,56.9221,68.2166,60.5993,48.8385,50.4707,75.6965,56.0792,49.3112,69.2502,8.6772,57.5725,49.1264,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R14,54.9303,53.1273,87.6806,68.6462,99.1791,77.7615,78.2212,86.3851,62.0070,90.6562,89.2026,70.0769,8.7918,82.5999,67.0135,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R15,83.8581,61.1356,59.8997,68.3548,82.0528,70.2054,73.1292,62.4417,53.4676,51.2577,54.1708,79.9994,8.7731,57.9500,60.7903,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R16,53.7547,88.9668,76.2108,75.2091,66.5066,67.3874,60.1317,80.7862,84.6759,87.7575,57.7324,70.5085,8.3531,78.3845,56.6986,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R17,54.3357,55.6904,65.2926,83.8541,76.5900,83.7957,68.3552,77.6190,86.9628,57.1160,99.5121,82.0146,6.6432,57.8728,81.1473,SYNTHETIC_REFERENCE_SCAFFOLD
